dataset,base,condition_type,stratum,stratum_midpoint,n,case1,case2,case3,case4,n_eligible,n_adopted,adopt_cond,adopt_cond_ci_lo,adopt_cond_ci_hi,df_uncond,df_cond,acc,acc_drop,baseline_acc
VQAv2,all,anchor,S1,0.5,1000,601,78,47,274,726,78,0.10743801652892562,0.08674242424242425,0.12947658402203857,0.114,0.14335060449050085,0.7133333333333333,0.014000000000000012,0.7273333333333333
VQAv2,all,anchor,S2,3.5,1000,948,30,2,20,980,30,0.030612244897959183,0.021403061224489796,0.04183673469387755,0.11,0.11224489795918367,0.697,0.030333333333333323,0.7273333333333333
VQAv2,all,anchor,S3,18.0,1000,978,20,1,1,999,20,0.02002002002002002,0.012012012012012012,0.02902902902902903,0.076,0.07607607607607608,0.6903333333333332,0.03700000000000003,0.7273333333333333
VQAv2,all,anchor,S4,165.0,1000,984,16,0,0,1000,16,0.016,0.009,0.024,0.073,0.073,0.693,0.03433333333333333,0.7273333333333333
VQAv2,all,anchor,S5,650.0,1000,987,13,0,0,1000,13,0.013,0.006,0.02,0.065,0.065,0.696,0.031333333333333324,0.7273333333333333
VQAv2,all,masked,S1,0.5,1000,637,42,44,277,723,42,0.058091286307053944,0.04149377593360996,0.07607192254495158,0.078,0.09705372616984402,0.716,0.011333333333333306,0.7273333333333333
VQAv2,all,masked,S2,3.5,1000,971,7,4,18,982,7,0.007128309572301426,0.003054989816700611,0.013238289205702648,0.087,0.08859470468431772,0.7186666666666667,0.0086666666666666,0.7273333333333333
VQAv2,all,masked,S3,18.0,1000,996,2,1,1,999,2,0.002002002002002002,0.0,0.005005005005005005,0.052,0.05205205205205205,0.7186666666666668,0.00866666666666649,0.7273333333333333
VQAv2,all,masked,S4,165.0,1000,1000,0,0,0,1000,0,0.0,0.0,0.0,0.046,0.046,0.7043333333333333,0.02300000000000002,0.7273333333333333
VQAv2,all,masked,S5,650.0,1000,1000,0,0,0,1000,0,0.0,0.0,0.0,0.037,0.037,0.72,0.007333333333333303,0.7273333333333333
VQAv2,all,neutral,all,,1000,0,0,0,0,0,0,,,,0.0,,0.7136666666666667,0.013666666666666605,0.7273333333333333
VQAv2,all,baseline,all,,1000,0,0,0,0,0,0,,,,0.0,,0.7273333333333333,0.0,0.7273333333333333
VQAv2,correct,anchor,S1,0.5,601,341,36,24,200,401,36,0.08977556109725686,0.06234413965087282,0.11970074812967581,0.06821963394342762,0.10875331564986737,0.9068219633943427,0.09317803660565727,1.0
VQAv2,correct,anchor,S2,3.5,601,580,21,0,0,601,21,0.03494176372712146,0.019966722129783693,0.04991680532445923,0.10149750415973377,0.10149750415973377,0.8951747088186356,0.10482529118136441,1.0
VQAv2,correct,anchor,S3,18.0,601,588,13,0,0,601,13,0.021630615640599003,0.011647254575707155,0.03494176372712146,0.07154742096505824,0.07154742096505824,0.8907376594564613,0.10926234054353867,1.0
VQAv2,correct,anchor,S4,165.0,601,590,11,0,0,601,11,0.018302828618968387,0.008319467554076539,0.029950083194675542,0.0632279534109817,0.0632279534109817,0.9007210205213532,0.09927897947864683,1.0
